x,불리오순한맛,미국주식,미하이드,한국주식,국내단기채권
31일,0,0,0,0,0
1일,-0.11,-0.11,-0.48,0.08,-0.01
2일,-0.09,0.22,-0.38,-0.12,0.03
5일,0.35,1,-0.32,1.13,0.07
7일,0.43,1.35,-0.12,1.01,0.08
8일,0.26,1.06,-0.08,0.47,0.07
9일,0.28,1.1,-0.21,0.61,0.05
12일,0.46,1.12,-0.3,1.51,0.08
13일,0.21,1.03,-0.25,0.43,0.01
14일,0.33,0.95,-0.25,1.02,0.07
15일,0.42,1.43,-0.21,0.98,0.03
16일,0.34,1.31,-0.05,0.59,0.02
19일,0.3,1.16,-0.18,0.65,0.02
20일,0.43,1.12,-0.17,1.22,0.06
21일,0.62,1.83,-0.19,1.47,0.06
22일,0.36,1.4,-0.41,0.86,0.04
23일,0.43,1.23,-0.57,1.52,0.01
26일,0.49,1.16,-0.54,1.79,0.06
27일,0.63,1.31,-0.55,2.32,0.06
28일,0.79,1.33,0.13,2.37,0.07
29일,0.47,0.67,-0.33,1.98,0.03
30일,0.78,1.43,-0.37,2.71,0.07
